#OTU,Sp11,Sp12,Sp13,Sp21,Sp22,Sp23,Su11,Su12,Su13,Su21,Su22,Su23,Au11,Au12,Au13,Au21,Au22,Au23,Wi11,Wi12,Wi13,Wi21,Wi22,Wi23
Otu2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,2,0,3,0
Otu2301,2,2,2,2,1,6,3,0,3,3,2,11,1,2,3,6,2,5,0,7,2,0,0,2
Otu2302,2,3,1,2,0,1,0,5,0,0,0,2,1,3,3,0,2,0,11,0,10,6,2,6
Otu2303,4,0,0,0,4,0,0,2,2,2,5,2,1,1,2,0,2,4,3,0,0,0,2,4
Otu2304,6,2,0,2,3,1,5,0,2,2,0,4,1,3,1,0,0,2,14,5,0,0,2,0
Otu2305,2,16,43,2,0,4,0,7,0,0,0,2,1,9,26,0,0,4,8,17,50,2,3,15
Otu2306,2,3,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,3,0,0,0,0,0
Otu2307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Otu2308,2,0,1,0,0,0,0,4,0,2,5,0,0,2,3,1,2,5,0,0,0,6,3,8
Otu2309,2,4,3,0,3,4,0,4,3,2,2,2,4,3,1,0,2,2,0,0,0,4,2,4
Otu2310,0,2,1,2,0,0,0,0,2,3,0,0,2,6,6,0,0,2,3,2,8,0,3,2
Otu2311,2,1,2,0,3,0,8,5,0,2,5,0,5,0,2,3,0,0,3,0,0,4,2,6
Otu2312,1,0,0,2,25,6,7,0,7,7,7,4,13,2,0,3,12,0,0,0,0,0,3,4
Otu2313,2,3,0,0,7,6,3,0,2,0,2,4,6,2,3,6,12,4,3,2,2,6,5,4
Otu2314,1,1,0,0,0,3,0,0,0,0,5,0,0,2,0,0,0,0,0,2,0,0,0,0
Otu2315,1,0,0,14,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
Otu2316,2,11,3,3,0,4,2,4,19,0,2,4,0,2,3,0,3,0,3,2,6,4,9,8
Otu2317,0,2,7,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,2
Otu2318,2,7,2,2,7,10,5,4,3,7,12,0,4,5,4,3,3,5,5,5,0,0,3,6
Otu2319,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu2320,4,5,2,2,6,0,2,9,3,2,2,0,0,3,6,4,2,9,3,5,0,15,9,0
Otu2321,1,1,3,0,1,0,0,0,0,0,0,4,1,2,3,0,2,0,0,7,4,0,5,0
Otu2322,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Otu2323,0,1,0,0,0,0,0,0,0,0,0,0,0,5,15,0,3,2,0,2,35,29,6,10
Otu2324,2,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Otu2325,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,4,0,0,0
Otu2326,3,3,3,3,4,8,13,7,5,7,2,9,4,5,5,3,13,11,11,12,8,2,2,8
Otu2327,8,3,1,3,8,3,8,2,0,2,7,2,10,2,3,1,2,0,0,2,2,0,3,4
Otu2328,1,0,0,0,0,0,15,0,0,5,0,0,9,1,1,3,2,0,3,0,0,0,0,0
Otu2329,4,0,0,2,6,3,2,0,0,5,2,0,7,3,0,0,0,0,3,0,0,0,2,0
Otu2330,18,8,2,8,22,26,0,0,39,19,31,2,0,3,3,17,30,7,0,0,0,0,11,6
Otu2331,0,3,0,0,1,0,0,4,2,2,2,2,2,0,3,0,0,0,0,2,0,2,0,0
Otu2332,3,0,0,2,0,0,0,0,0,0,7,0,1,1,3,1,0,0,0,5,0,0,3,2
Otu2333,10,0,0,8,4,6,0,0,3,10,14,0,4,1,1,8,3,0,5,0,0,4,0,0
Otu2334,4,4,4,5,0,7,3,4,8,2,0,7,10,5,4,6,3,0,5,2,12,2,0,10
Otu2335,3,0,0,0,1,4,2,0,0,5,0,0,0,1,0,6,0,2,0,0,0,0,0,0
Otu2336,3,4,1,14,1,14,7,2,20,10,2,9,13,9,8,1,0,7,0,27,12,0,11,8
Otu2337,1,0,1,0,0,0,0,0,0,7,0,0,2,3,4,3,2,2,11,0,0,4,12,6
Otu2339,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu234,35,169,141,48,11,96,17,33,19,29,12,22,25,45,66,18,26,130,239,49,91,345,54,138
Otu2341,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0
Otu2343,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu2345,5,6,3,0,1,6,3,0,5,7,2,0,3,7,3,10,3,5,5,12,0,15,11,8
Otu2346,2,2,3,2,0,0,7,2,8,2,0,7,4,1,1,0,0,0,0,2,4,0,3,2
Otu2347,0,0,0,0,0,4,2,2,3,2,0,0,0,0,1,0,0,0,0,2,0,0,0,2
Otu2348,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,4,0,0,0,6,2,0
Otu2349,5,0,0,2,0,3,0,2,8,12,5,7,0,2,1,11,2,0,0,0,2,0,2,2
Otu235,56,0,0,6,6,7,68,0,7,69,19,29,19,2,2,33,15,22,30,5,2,10,3,8
Otu2350,0,4,3,0,0,6,2,5,0,0,0,0,1,11,2,0,3,0,16,5,2,15,2,2
Otu2351,3,4,1,0,1,6,8,2,7,9,9,2,10,9,2,8,10,7,3,2,0,4,20,4
Otu2352,10,4,3,5,1,3,3,5,2,2,2,2,1,5,8,3,3,4,11,2,4,4,0,4
