#OTU	Sp11	Sp12	Sp13	Sp21	Sp22	Sp23	Su11	Su12	Su13	Su21	Su22	Su23	Au11	Au12	Au13	Au21	Au22	Au23	Wi11	Wi12	Wi13	Wi21	Wi22	Wi23
Otu1995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0
Otu1996	6	0	0	6	46	0	18	16	0	22	16	18	11	7	0	13	5	0	5	0	0	2	0	0
Otu1997	6	5	3	3	3	4	5	0	12	6	7	9	2	9	8	6	5	2	5	7	6	0	4	10
Otu1999	4	3	5	2	4	4	5	9	7	5	7	4	13	6	8	4	12	1	27	7	12	12	6	10
Otu2	34	1912	1367	12600	21	327	17	9	28	31	19	25	53	31	37	40	60	138	27	39	80	55	34	74
Otu20	268	270	194	72	6	47	58	309	185	21	12	1175	199	140	94	17	33	18	184	278	54	248	26	4
Otu200	56	15	20	15	3	11	3	2	0	3	0	2	5	3	3	0	16	4	5	7	12	46	8	6
Otu2000	6	11	10	3	1	3	5	0	3	2	7	2	4	8	4	1	5	11	0	2	2	8	12	4
Otu2001	2	2	0	6	0	6	0	0	15	5	2	2	0	0	0	4	3	2	0	2	0	0	2	0
Otu2002	3	3	6	0	10	3	5	2	0	10	2	2	5	5	4	7	8	11	3	0	0	0	3	8
Otu2003	4	0	0	2	4	3	2	0	7	9	5	11	1	2	0	13	0	0	0	0	0	0	2	2
Otu2004	8	11	9	2	4	3	7	4	2	2	0	2	4	10	7	4	5	4	8	7	10	29	3	15
Otu2005	6	5	4	0	7	10	7	11	3	5	0	0	4	6	8	3	3	2	11	10	6	8	2	12
Otu2006	0	1	0	0	3	1	0	2	2	3	0	4	2	0	0	0	3	0	3	2	0	0	0	4
Otu2007	0	2	0	0	0	1	0	0	2	2	0	0	0	2	0	6	0	0	0	0	2	0	3	4
Otu2008	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	2	0	0	2	2	0	0	2
Otu2009	1	0	1	0	0	0	2	3	0	14	0	0	0	3	0	0	2	0	0	12	0	4	8	0
Otu201	35	1	0	3	225	0	2	2	0	3	137	2	4	1	0	4	0	0	0	0	0	0	2	0
Otu2010	4	3	4	3	6	3	3	7	2	0	5	2	8	5	1	1	0	4	3	2	10	0	2	0
Otu2011	1	3	2	0	0	1	0	2	2	0	0	4	1	2	0	0	0	4	0	2	0	0	0	0
Otu2012	7	1	2	3	4	4	9	0	2	9	5	4	4	1	2	14	2	5	5	0	0	0	0	0
Otu2013	2	3	3	3	3	4	2	0	0	3	5	2	0	2	2	6	3	2	0	2	8	0	2	6
Otu2014	2	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	3	0
Otu2015	1	0	1	3	3	3	0	0	0	2	0	0	0	3	0	3	2	2	3	0	0	10	5	4
Otu2016	0	0	1	0	3	1	0	4	0	2	7	2	2	1	3	3	5	5	0	5	0	15	5	4
Otu2017	0	0	0	0	3	0	2	0	0	5	7	0	2	0	0	1	0	4	3	0	0	0	0	0
Otu2018	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0
Otu2019	1	0	2	2	0	3	0	0	0	0	0	0	1	1	2	0	3	0	0	2	0	0	2	4
Otu202	99	52	62	60	46	70	212	53	81	127	31	126	119	124	63	22	35	92	63	66	153	54	52	61
Otu2020	0	1	0	2	1	0	0	14	0	5	0	2	2	2	0	8	0	0	22	2	2	27	0	4
Otu2021	0	2	1	0	0	0	0	7	2	2	0	0	0	2	6	1	0	0	0	2	0	4	6	6
Otu2022	0	0	0	0	0	1	0	0	0	0	0	7	0	1	0	0	2	2	5	2	2	0	0	0
Otu2024	7	9	6	8	1	13	8	7	2	9	2	2	9	6	5	1	3	0	5	15	25	4	6	6
Otu2025	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2026	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Otu2027	0	2	1	2	0	3	5	0	3	0	12	2	3	2	1	0	2	0	0	2	4	0	2	2
Otu2028	6	2	1	3	7	3	2	2	7	7	5	2	3	2	3	3	0	0	3	2	0	0	2	6
