OTU ID	A1	A2	A3
582f96337959ceacbca1d7744df84fe9	0	0	0
73b65bbefc40d939c8877873de7202ac	0	0	0
bca437a57c766f8a5417ac07da4cbc21	0	0	0
b568a4b3806d0d9a167d1dbf67232310	0	0	0
a60e4b424ae1d835eb5994ffa8058c7d	0	0	0
a9c257334c90cd5bdd2f1841e899e630	0	0	0
0b6f2c7641b45338d9443f0b4b0badfe	0	2	0
9086689bb787d336d311b4fe4878b9ae	0	0	8
cca1790145e2baa0d7ed08be548a584c	0	0	0
f49e303221b4e721828c15fbff384436	0	0	0
f402357cc47a1e2b56abd0d2439c6c83	0	0	0
6e7f2294d04f73503bd87a7ea898d988	0	0	0
532892997214e4ae8bd3107908b3aa4e	0	0	0
c1e11b64f67d57208e917a69df47e6d6	0	0	0
173ba71b17077a55d7d97ee902ee5efa	0	0	0
6dd1c5826a95b0d5057cc59bedc2ad09	0	0	0
d8d0008ef39f4a24164c1728a467261e	0	0	0
9e5831558b168c8b728c57de65943466	0	0	0
2d85fd71ed4bcb502354b059c5647326	0	11	0
db387d8f23b4f920dc10b0a496a49d45	0	0	0
4c97da8b28948fbc93ea192cb72cb743	0	0	0
76107be1729cb223fad7c9df8f5ac4af	0	0	0
c75564173a1fa8070e170b712bdc6b5a	0	0	0
2ab1bfadd029e40491fc9e7fa0313fce	0	0	0
782c85f548413c7f219c9e2386263b72	11	0	0
bc3d0ed1e21b40ae3d9bf1b801a07a22	0	0	0
03c1e09cbe66c28f5331b478ad5c5517	31	0	0
f302ab84f10d6e0cc4f6856b2eb65318	0	0	0
053af72c0c49c6e9b5f9fa30b2c4414f	0	0	0
0598c58a554a30519ff5680ae71c1147	0	0	12
950beb66416e7fc77092fb5610485191	0	0	0
29a3daabc76a4ffd5c3b4f44f6174708	0	0	0
23dbee35aad0cc79936671effc76c165	0	30	0
32afd4c0706dae520d024f6f5ca942ce	0	0	0
4996da16c1d112d338e041835a387caf	0	0	0
396018c46f294d1bb39f2b649376cb6c	0	0	0
a2cef17a465c97d9d49ade5ac209dbfe	0	0	0
8e2650456d833b1cf9df8aa2d1494492	0	206	0
a3e9ab92aa419b3304a71dcb2d44b745	0	0	0
70cc9f213e77eefd90c75867caaed7be	0	0	0
72d0018de83702be4955e3ce12d84b17	0	0	66
d64aa97d2196719c2b6b48dc72c063fc	0	8	81
d146f6b144ed0625edb64f0b820ebcaf	0	0	0
3daa3f689eff4f366e55ffbfac36511e	0	0	0
e2566c851d437e516d1355bd1aefb97a	0	0	0
8d0d84817e8791690e401d56e7833cbb	0	5	0
4040c3bfdcee325f0bb2577a0d353fae	0	0	0
b7a003b901480706347b4b0c690d80e4	0	0	0
c56fe8aa9bfc65a44f0f570e2e969a46	0	4	13
e6318b4286272ac018556799cecdd346	0	0	0
14d6a09a5f6161e8699f662f00982af1	0	0	0
faad81d48d8d893b50a85f85e40e98a8	0	0	0
60a1ccd1b775cd45cec4fa3201437e8a	0	0	0
fab485ae5f63d2b9289ec68540d449de	0	0	0
ae12377ce01495b059032686cffa1504	0	0	26
b584bc991bf49d85a2c41253d390d5b6	0	0	0
a2d3ae965b980a5d7b6a8b32c62e29e0	0	0	0
8b4df00fbc2805c712686690b6707646	0	0	0
2dcbe5acf332247f0f07dee0e7c74be2	0	0	0
4c9e06adf63cb9e0c57166328fa2b52c	0	0	0
2eabb323256004a8dc2517f446d60104	0	0	0
89c4026bd7857b8bbd4e56a7505b558f	0	0	0
a505899a802f867249ca5357ecac0a92	0	0	0
97f92e84f5660fb6606376cb22a6d947	0	0	0
b3e37ea4f5487bab569b16caadca0427	0	0	0
3e899d24f514d86c42260bbe5f676c41	0	0	0
d20b1a592e7f04a88eec28c15d99ce72	0	36	42
23c7da0520142f823bc9b5168414a16e	0	0	0
0ec8c462f3e05d1b73b79025483fef82	0	0	0
d1f27d3531ba6eb8c61651ec0c711a2f	0	0	76
5ea591cccd594d37205d79b5e0bb28a7	0	0	0
6086192bc4b4710a4564541e8a32bf1b	0	0	0
4f111d00d006bc8dfb48f1946dcf7fdf	0	0	0
a2e4a9eb2359ea8da519303fe89c5c34	0	18	0
842315d69b393e6be052c36161bd8286	0	0	0
4ebd815bc8a9e3d211a2bc7da162311c	0	0	0
05e4d7f73dc8f22282295ef12388944e	0	0	30
3579517d3876debece8295e5e6f425ef	0	0	0
12134c1aa6ee0b0534b6a0e5c86b25bf	0	0	0
66c4e271fa8bc3efc17337dc7fb032c0	0	137	257
e6173269aa83d425a0b8a78583288a62	0	0	0
f896b2bedc95a334c696db3c2392bbac	0	209	139
e5bbe6e2149d7d556d12be80f562e72c	0	182	0
876bdcb964db6f5b82b53700b91190ea	0	0	0
38d2344cb1f7e0660f51e2e255fedb73	0	0	0
5c4bd3259f1f678360233fab26599fae	0	0	0
4e27eca09c3a981a654928754d3ecedb	0	0	0
6dfa3e8f72bf634c23554815f5aee34f	0	0	0
8c83165b1e36cc57d6972ed99d91e524	0	0	0
2616c882722563651bc1b71378ee038d	0	118	45
0b86a6223e9910a944bb0cf3ef506cd7	0	0	0
63846a545c14412e2c8fba06bf57ecd1	0	0	0
10d2df059ae6aa813cfb5952734c9e12	0	0	0
8c0226853fde82bf6894afb8d1478579	0	0	0
ad4312868c5d6641b61151369eee2a3f	0	490	261
3dc461ff463de82e930d7542506695b5	20	0	0
ad1cca77dbda002cb6cbec7d87811e54	0	0	0
39a6740095ad2b17c4259f4fac18f16e	0	0	0
f691eb7659b883754f0cc725753d1afa	0	0	0
f516ab20983bba5b5ddde78b7afa182e	0	0	0
ac3f3bface0bd87657613e57cbc60ef1	0	0	0
041478dfef75cd6c41571290180625a0	0	34	7
8f3615bed4bc5a27951035fcf0b16b91	0	0	0
4ae26e0ede1fcd4e781bae99662f6149	0	0	0
9dd64ea2c0affd56f604d77fefc43d28	0	0	0
2a7f28af40a10a24cb71e9cf528c80ef	0	0	0
12f74e601b710ee530410f831f51b3e3	0	0	0
0e3dc8019bc3141e2f334ab2b4147419	0	0	0
fbdb3c63addd4414885bb7f71e1fb93e	0	0	0
fae61b705d87424650bd9aa41f57e02b	0	0	0
7582f669f2a1b3c6420c189df7475464	0	0	0
25cf8771a5bd3a24b72124174f4525c9	0	0	0
1e0a4d8818b5ac454d03d3c0af00e143	5	0	0
81c646b298091402b908063bb162f762	0	0	0
c5cc17e0e3ab71b0c9944781f3c20a09	0	7	0
